step,MM-0_pnl,MM-0_inv,MM-0_nav,MM-1_pnl,MM-1_inv,MM-1_nav,TF-0_pnl,TF-0_inv,TF-0_nav,TF-1_pnl,TF-1_inv,TF-1_nav,MR-0_pnl,MR-0_inv,MR-0_nav,MR-1_pnl,MR-1_inv,MR-1_nav,LT-0_pnl,LT-0_inv,LT-0_nav,LT-1_pnl,LT-1_inv,LT-1_nav,SP-0_pnl,SP-0_inv,SP-0_nav,RL-0_pnl,RL-0_inv,RL-0_nav
44,-0.9000000000000006,0,-0.9000000000000006,-0.9000000000000006,0,-0.9000000000000006,794.8807864702277,-8,3.7221298376003915,-99.7096657434283,1,0.011034519970877454,0.0,0,0.0,-198.88854636841927,2,-1.0988822102624454,796.2709453985775,-8,-1.4946567086159348,-0.01,0,-0.01,2783.718352520636,-28,14.6630543064407,2493.4639810298295,-25,0.44647444485008236
45,-100.14270026339918,1,-0.6893356798462378,-0.9200000000000006,0,-0.9200000000000006,794.8707864702277,-8,4.120285175679214,0.12262565579338047,0,0.12262565579338047,0.0,0,0.0,-198.88854636841927,2,-1.2009210447821488,1292.468884973156,-13,-0.42485461303226657,99.74413033713905,-1,0.0015582035489529744,2882.5543577697085,-29,16.083790576970387,2592.4619810298295,-26,6.674501857452924
46,-100.16270026339919,1,-0.709335679846248,-0.9400000000000006,0,-0.9400000000000006,893.6047528847807,-9,7.152309243241007,99.93287648456808,-1,0.47951190101514385,0.0,0,0.0,-198.88854636841927,2,-1.899114448077114,1292.458884973156,-13,-0.4348546130322575,99.74413033713905,-1,0.01213281860836446,2981.1830283533536,-30,26.341549548221337,2592.4519810298293,-26,6.664501857452706
47,-100.1827002633992,1,-1.2252327178736948,-0.9600000000000006,0,-0.9600000000000006,992.0374688449518,-10,7.174118648252488,199.74141960604248,-2,1.8264845149914777,0.0,0,0.0,-198.88854636841927,2,-1.9158763290793956,1092.6384193725055,-11,4.106276371725016,99.74413033713905,-1,0.022583796831369796,3079.6130118380624,-31,26.536626228294608,2691.4499810298294,-27,19.5983573006406
48,-100.20270026339921,1,-1.3006395775539374,-0.9800000000000006,0,-0.9800000000000006,1090.4921016755402,-11,9.542259067355644,299.433540977733,-3,2.7273589201972186,0.0,0,0.0,-198.89854636841926,2,-2.3622113487493266,1092.6284193725055,-11,4.70575182820744,99.74413033713905,-1,0.029378544992042066,3178.0373468577322,-32,33.455986543013296,2691.439981029829,-27,21.08434251200697
49,-99.22670026339921,1,-0.2655748490118697,-1.0000000000000007,0,-1.0000000000000007,1188.8382610856145,-12,9.620250967594757,399.31705892943364,-4,3.472557271884284,0.0,0,0.0,-297.3587057784936,3,-2.5542032489886424,693.5787591024443,-7,0.8508812017329319,99.74413033713905,-1,0.037147256858489186,3276.025346857732,-33,33.17581903317796,2789.8300417156743,-28,18.91853011282865
50,-197.70982567778657,2,0.21242515098811054,-1.0200000000000007,0,-1.0200000000000007,1287.0150853536907,-13,11.137727611195487,499.1478457977304,-5,4.342218725793714,0.0,0,0.0,-297.36870577849356,3,-2.935469376379274,693.5687591024443,-7,0.840881201732941,99.74413033713905,-1,0.046421452411138375,3374.013346857732,-34,37.10333430043693,2888.2791671300615,-29,18.406530112828477
51,-98.2707002633992,1,0.7014454362116425,-1.0400000000000007,0,-1.0400000000000007,1385.256052667498,-14,10.85528147084733,499.1478457977304,-5,4.28711729967614,0.0,0,0.0,-395.6595300465697,4,-2.9735954189553127,394.2465959909856,-4,-1.6419868074577835,99.74413033713905,-1,0.04877726338406774,3472.0013468577317,-35,35.99941886610577,2988.1515676156596,-30,18.987196627334015
52,1.1794454362116322,0,1.1794454362116322,-1.0600000000000007,0,-1.0600000000000007,1385.256052667498,-14,8.816930487964328,499.1378457977304,-5,4.259250895294144,0.0,0,0.0,-395.6595300465697,4,-2.391209423845851,394.2465959909856,-4,-1.6562799309633647,99.74413033713905,-1,0.05004579884503357,3373.6463795439245,-34,30.865654250771513,2888.6674219160486,-29,18.371571481918636
53,1.1594454362116322,0,1.1594454362116322,-1.0800000000000007,0,-1.0800000000000007,1385.256052667498,-14,8.816930487964328,399.1844078367559,-4,3.2625905079837025,0.0,0,0.0,-395.6595300465697,4,-2.391209423845851,394.2465959909856,-4,-1.6752213377865814,99.74413033713905,-1,0.05438896807483218,3275.2828433794584,-33,30.81919824198667,2988.6154679470874,-30,19.20183798129574
